Vehicle_ID,Station_ID,Vehicle_Type,Battery_Capacity_kWh,Manufacturer,Model_Name,Registration_Year,Owner_Type
51862,19470,Electric Bike,72.1,Citroën,ë-C3,2020,Rental Agency
51863,13811,Sedan,75.5,Tata,Nexon EV,2021,Ride-Sharing Partner
51864,16661,Electric Bike,36.8,Ford,F-150 Lightning,2021,Government
51865,29465,Electric Bike,90.4,Tata,Punch EV,2022,Individual
51866,11457,Compact SUV,62.6,Hyundai,Ioniq 5,2022,Government
51867,15150,Electric Bike,63.1,Tesla,Model S,2019,Delivery Service
51868,17370,Crossover,45.3,Kia,Soul EV,2019,Corporate
51869,10913,Pickup,89.6,Ford,Mustang Mach-E,2018,Municipal Utility
51870,18882,Luxury Sedan,98.5,Nissan,Ariya,2019,Rental Agency
51871,25780,Coupe,61.3,Renault,ZOE,2019,Individual
51872,26375,Electric Bike,74.3,Hyundai,Kona Electric,2018,Fleet
51873,13719,Hatchback,60.8,Mercedes-Benz,EQS,2021,Taxi Operator
51874,13214,Crossover,34.7,Jeep,Avenger EV,2018,Delivery Service
51875,13318,Coupe,41.5,Mercedes-Benz,EQE,2020,Taxi Operator
51876,20905,Pickup,99.7,BYD,Atto 3,2022,Delivery Service
51877,13847,Crossover,93,Honda,e,2021,Government
51878,22796,Luxury Sedan,57.2,BYD,Seal,2022,Corporate
51879,10117,Truck,93.5,Citroën,ë-C3,2021,Individual
51880,21346,Coupe,51.8,Mahindra,XUV400,2023,Fleet
51881,10399,Compact SUV,58.9,Volkswagen,ID.4,2021,Government
51882,20110,Coupe,61.2,Mahindra,eVerito,2024,Municipal Utility
51883,15093,Sedan,69.3,Skoda,Enyaq iV,2022,Corporate
51884,16188,Electric Scooter,58,BMW,i4,2023,Delivery Service
51885,19202,Three-Wheeler,41.8,Mahindra,eVerito,2023,Fleet
51886,24342,Compact SUV,61.8,MG,Comet EV,2018,Corporate
51887,27892,SUV,55.8,Mahindra,XUV400,2018,Corporate
51888,27928,Convertible,93,BYD,Seal,2021,Corporate
51889,21306,Luxury Sedan,58.8,Citroën,ë-C3,2025,Fleet
51890,14363,Truck,79.9,Mahindra,XUV400,2020,Corporate
51891,10844,Minivan,67.3,Maruti Suzuki,Futuro-e,2018,Corporate
51892,14128,Truck,91.4,Volvo,XC40 Recharge,2020,Fleet
51893,20276,Hatchback,50.6,BMW,iX,2020,Government
51894,22852,Three-Wheeler,44.7,Ford,F-150 Lightning,2019,Educational Institution
51895,16260,Truck,74,BYD,Atto 3,2023,Government
51896,22799,Luxury Sedan,51.1,Maruti Suzuki,eVX,2019,Taxi Operator
51897,12250,Luxury Sedan,46.9,Ford,F-150 Lightning,2025,Ride-Sharing Partner
51898,15320,Minivan,61.7,Honda,e,2020,Individual
51899,20422,Van,45.9,Mercedes-Benz,EQE,2021,Rental Agency
51900,25080,Pickup,40,Audi,Q8 e-tron,2018,Delivery Service
51901,17167,Compact SUV,31,Skoda,Enyaq iV,2018,Taxi Operator
51902,12930,Three-Wheeler,67.8,Kia,EV6,2025,Municipal Utility
51903,22011,Electric Bike,87.6,Kia,Soul EV,2022,Corporate
51904,25504,Three-Wheeler,97.8,Audi,Q4 e-tron,2022,Fleet
51905,13859,Pickup,65.9,Citroën,ë-C3,2022,Fleet
51906,15572,Coupe,58,Ford,F-150 Lightning,2019,Delivery Service
51907,25760,Electric Bike,88.1,Volvo,XC40 Recharge,2023,Taxi Operator
51908,25990,Electric Scooter,48.4,MG,ZS EV,2018,Fleet
51909,29072,Pickup,86.4,Ford,F-150 Lightning,2023,Ride-Sharing Partner
51910,26841,Minivan,47.4,Volkswagen,ID.4,2025,Corporate
51911,21358,Truck,33.5,Volvo,XC40 Recharge,2024,Taxi Operator
51912,29219,Electric Bike,69.7,BYD,Seal,2024,Individual
51913,29026,Hatchback,74.9,Jeep,Avenger EV,2023,Municipal Utility
51914,27084,Coupe,54.3,Volvo,C40 Recharge,2022,Individual
51915,11246,Luxury Sedan,72.5,MG,ZS EV,2019,Rental Agency
51916,14761,Truck,86.9,Skoda,Enyaq iV,2023,Individual
51917,12456,Convertible,75,Honda,Prologue,2022,Fleet
51918,29206,Compact SUV,60.4,Hyundai,Kona Electric,2023,Corporate
51919,24406,Hatchback,98,Volkswagen,ID.4,2022,Individual
51920,29146,Crossover,41.1,Citroën,ë-C3,2018,Corporate
51921,14130,Coupe,65.7,Hyundai,Ioniq 5,2024,Government
51922,23825,Truck,35.8,Nissan,Ariya,2023,Fleet
51923,27820,Van,79.8,Ford,F-150 Lightning,2020,Rental Agency
51924,28184,Pickup,67.7,Kia,Soul EV,2021,Educational Institution
51925,29103,Convertible,56.6,Skoda,Enyaq iV,2025,Rental Agency
51926,14653,Pickup,83.9,Honda,e,2020,Government
51927,15545,Minivan,64.2,Mahindra,BE.05,2024,Municipal Utility
51928,15653,Truck,76.9,Tata,Punch EV,2022,Government
51929,27308,Hatchback,32.3,MG,Comet EV,2022,Municipal Utility
51930,25111,Electric Bike,85.3,Tata,Nexon EV,2024,Government
51931,16580,SUV,81.4,Volkswagen,ID.3,2023,Corporate
51932,24386,Electric Bike,75.7,Tesla,Model 3,2019,Delivery Service
51933,14185,Three-Wheeler,67.6,Volvo,XC40 Recharge,2021,Fleet
51934,29610,Electric Bike,74.6,Volvo,XC40 Recharge,2019,Educational Institution
51935,13262,Luxury Sedan,55.8,Jeep,Avenger EV,2024,Municipal Utility
51936,14400,Sedan,75.6,Audi,Q4 e-tron,2024,Ride-Sharing Partner
51937,21850,Coupe,82.2,MG,ZS EV,2025,Fleet
51938,19820,Van,85,BYD,Atto 3,2022,Delivery Service
51939,10839,Electric Bike,82.4,Volvo,XC40 Recharge,2020,Individual
51940,27121,Electric Scooter,51.9,Volvo,C40 Recharge,2020,Corporate
51941,22837,Three-Wheeler,92.3,Honda,Prologue,2022,Corporate
51942,28615,Sedan,73.5,Hyundai,Kona Electric,2020,Taxi Operator
51943,26253,Convertible,60.3,Honda,Prologue,2020,Taxi Operator
51944,11691,Pickup,83.4,MG,Comet EV,2024,Corporate
51945,19021,SUV,32.3,Mercedes-Benz,EQB,2020,Corporate
51946,12661,Sedan,77.8,Mercedes-Benz,EQB,2019,Ride-Sharing Partner
51947,21812,SUV,48.7,Tesla,Model 3,2022,Taxi Operator
51948,10993,Compact SUV,92.6,Volkswagen,ID.3,2025,Ride-Sharing Partner
51949,17563,Hatchback,48.6,Tesla,Model Y,2019,Individual
51950,20143,Van,95.8,Skoda,Enyaq iV,2018,Individual
51951,19696,Truck,42,Tesla,Model S,2022,Fleet
51952,18879,Coupe,68.4,Mahindra,eVerito,2025,Corporate
51953,17889,Electric Bike,96.5,BMW,iX,2023,Municipal Utility
51954,15463,Luxury Sedan,66.2,Citroën,ë-C3,2023,Ride-Sharing Partner
51955,13732,SUV,79.3,Ford,F-150 Lightning,2018,Taxi Operator
51956,14849,Coupe,40.5,Volvo,XC40 Recharge,2019,Government
51957,18038,SUV,95.8,Tata,Punch EV,2025,Municipal Utility
51958,19332,Sedan,47.9,Audi,e-tron,2022,Rental Agency
51959,17763,SUV,74.6,Kia,Soul EV,2023,Educational Institution
51960,11741,Hatchback,40.8,Skoda,Enyaq iV,2020,Corporate
51961,26124,Hatchback,71.3,Maruti Suzuki,Futuro-e,2019,Rental Agency
51962,26750,Convertible,70.2,Tesla,Model Y,2022,Government
51963,22763,Electric Bike,78.3,Citroën,ë-C3,2020,Municipal Utility
51964,11010,Minivan,79,Ford,Mustang Mach-E,2024,Municipal Utility
51965,20698,Sedan,92.8,Jeep,Avenger EV,2018,Municipal Utility
51966,15694,Crossover,86.7,Volvo,XC40 Recharge,2025,Rental Agency
51967,13795,Luxury Sedan,55.3,Audi,Q8 e-tron,2019,Delivery Service
51968,20575,Van,71.9,Renault,K-ZE,2023,Government
51969,23166,Convertible,68.1,Mahindra,BE.05,2022,Individual
51970,22716,Pickup,60.7,Jeep,Avenger EV,2025,Rental Agency
51971,17557,Minivan,77,Renault,K-ZE,2020,Fleet
51972,28467,Three-Wheeler,50.7,Audi,e-tron,2020,Ride-Sharing Partner
51973,28737,Electric Scooter,94.9,BYD,e6,2023,Corporate
51974,21902,Van,30.6,Mahindra,XUV400,2018,Rental Agency
51975,12231,Electric Bike,36.3,BMW,i4,2023,Educational Institution
51976,27198,Electric Bike,70.2,BYD,e6,2024,Fleet
51977,10190,Coupe,35.4,MG,ZS EV,2019,Individual
51978,10651,Sedan,53.7,Kia,Soul EV,2018,Taxi Operator
51979,12089,Sedan,43.1,Ford,F-150 Lightning,2022,Municipal Utility
51980,28800,Pickup,92.7,Skoda,Enyaq iV,2023,Government
51981,10288,Compact SUV,87.9,Tata,Tigor EV,2025,Rental Agency
51982,29626,Minivan,66.2,Ford,Mustang Mach-E,2023,Taxi Operator
51983,23979,Convertible,38.4,BYD,Seal,2020,Municipal Utility
51984,16291,Electric Bike,77,BMW,i4,2019,Individual
51985,16220,Minivan,69.4,Mercedes-Benz,EQE,2025,Government
51986,29347,Convertible,39,Maruti Suzuki,Futuro-e,2021,Educational Institution
51987,10812,Convertible,68.3,Mahindra,eVerito,2024,Fleet
51988,12421,Three-Wheeler,84,BYD,Seal,2020,Delivery Service
51989,17035,Luxury Sedan,31.6,Mercedes-Benz,EQS,2021,Educational Institution
51990,27614,Sedan,88,Kia,EV6,2022,Taxi Operator
51991,21651,Coupe,96.2,Maruti Suzuki,eVX,2021,Rental Agency
51992,19552,Convertible,92.6,Volvo,XC40 Recharge,2023,Government
51993,14689,Three-Wheeler,73.5,Nissan,Leaf,2024,Individual
51994,24146,Electric Scooter,87.5,Volkswagen,ID.3,2023,Taxi Operator
51995,13272,Pickup,86.5,BMW,i7,2020,Taxi Operator
51996,17757,Hatchback,67,Honda,Prologue,2023,Fleet
51997,29198,Compact SUV,89.2,Tesla,Model Y,2021,Corporate
51998,28016,Hatchback,64.1,Renault,ZOE,2019,Delivery Service
51999,24215,Electric Scooter,64,Hyundai,Kona Electric,2023,Educational Institution
52000,18013,Coupe,41.8,Volkswagen,ID.4,2023,Rental Agency
52001,29120,Coupe,37.4,Kia,Soul EV,2019,Fleet
52002,13973,Pickup,62.4,Hyundai,Ioniq 5,2019,Corporate
52003,14192,Sedan,94.9,Mercedes-Benz,EQE,2019,Fleet
52004,24876,Hatchback,74.3,Nissan,Ariya,2022,Individual
52005,15389,Electric Bike,93.7,MG,Comet EV,2023,Educational Institution
52006,22467,Hatchback,73.2,Kia,EV6,2021,Ride-Sharing Partner
52007,22158,Luxury Sedan,88,Hyundai,Ioniq 5,2019,Fleet
52008,21710,Crossover,67.1,Ford,Mustang Mach-E,2019,Educational Institution
52009,26403,Coupe,53.5,Mercedes-Benz,EQE,2025,Municipal Utility
52010,22451,Compact SUV,38,Citroën,ë-C3,2021,Rental Agency
52011,15095,Crossover,60.1,Skoda,Enyaq iV,2018,Delivery Service
52012,15070,SUV,54.9,BMW,i7,2024,Delivery Service
52013,28965,Compact SUV,38.1,Jeep,Avenger EV,2024,Taxi Operator
52014,15012,SUV,61.1,Volkswagen,ID.4,2020,Government
52015,14038,Convertible,33.1,MG,Comet EV,2024,Corporate
52016,27667,Truck,51.7,Tesla,Model Y,2019,Educational Institution
52017,21696,Hatchback,98.2,Volvo,C40 Recharge,2025,Fleet
52018,29116,Hatchback,80.3,Tata,Nexon EV,2023,Corporate
52019,22641,Minivan,34.1,Honda,Prologue,2023,Government
52020,25843,Compact SUV,87.7,Volkswagen,ID.3,2024,Municipal Utility
52021,11278,Coupe,79.7,Tata,Tigor EV,2025,Delivery Service
52022,26463,Hatchback,62.2,Ford,Mustang Mach-E,2022,Taxi Operator
52023,13457,Pickup,30.2,BMW,i4,2024,Ride-Sharing Partner
52024,19337,Electric Scooter,47.1,Citroën,ë-C3,2023,Ride-Sharing Partner
52025,26264,Van,45.7,Tata,Tigor EV,2023,Ride-Sharing Partner
52026,23135,Electric Scooter,40,BMW,iX,2025,Taxi Operator
52027,25894,Minivan,81.8,BMW,i7,2023,Corporate
52028,11998,Coupe,74.9,Audi,Q4 e-tron,2018,Municipal Utility
52029,13508,Van,98.1,Mercedes-Benz,EQE,2018,Taxi Operator
52030,21587,Minivan,78.3,Renault,ZOE,2019,Rental Agency
52031,16052,Coupe,55.5,Jeep,Avenger EV,2021,Taxi Operator
52032,28683,Electric Scooter,82.6,Tata,Nexon EV,2025,Taxi Operator
52033,14376,Luxury Sedan,68.3,Volkswagen,ID.3,2018,Fleet
52034,22733,Van,71.2,BYD,Atto 3,2025,Delivery Service
52035,20431,Electric Bike,81.8,Jeep,Avenger EV,2018,Government
52036,27573,Sedan,54.6,Honda,Prologue,2021,Government
52037,18249,Coupe,84.9,Kia,EV6,2025,Individual
52038,25765,Convertible,30.8,Mahindra,eVerito,2018,Fleet
52039,29342,Electric Scooter,77.5,Skoda,Enyaq iV,2023,Rental Agency
52040,21373,Hatchback,35,Volkswagen,ID.4,2019,Educational Institution
52041,26156,Hatchback,78.3,MG,ZS EV,2020,Individual
52042,24184,Truck,40.9,Volvo,XC40 Recharge,2021,Educational Institution
52043,13664,SUV,64.3,Volvo,C40 Recharge,2023,Corporate
52044,13337,Compact SUV,77.2,Jeep,Avenger EV,2025,Individual
52045,12510,Compact SUV,61.4,Volvo,XC40 Recharge,2019,Fleet
52046,17466,Crossover,71.2,Renault,ZOE,2020,Educational Institution
52047,12099,Electric Scooter,95,Citroën,ë-C3,2023,Delivery Service
52048,21101,Hatchback,62.2,Nissan,Leaf,2021,Taxi Operator
52049,21984,Convertible,66.3,Citroën,ë-C3,2024,Delivery Service
52050,29243,Crossover,67.4,Citroën,ë-C3,2021,Corporate
52051,11136,Crossover,34.3,MG,ZS EV,2025,Rental Agency
52052,27673,Truck,88.3,Nissan,Leaf,2022,Taxi Operator
52053,27815,Compact SUV,34.7,Kia,EV6,2021,Corporate
52054,15039,Truck,57.8,Citroën,ë-C3,2018,Educational Institution
52055,12076,Sedan,51.3,Citroën,ë-C3,2024,Fleet
52056,27677,SUV,46.2,Honda,e,2022,Taxi Operator
52057,21549,Electric Scooter,75.6,Skoda,Enyaq iV,2022,Rental Agency
52058,12970,SUV,77.5,Mahindra,eVerito,2021,Individual
52059,18962,Truck,73.2,Mercedes-Benz,EQS,2018,Fleet
52060,12797,Coupe,52,Volkswagen,ID.4,2022,Delivery Service
52061,28151,Crossover,93.4,Audi,Q4 e-tron,2020,Ride-Sharing Partner
52062,28375,Pickup,52.8,Volkswagen,ID.3,2018,Municipal Utility
52063,20313,Coupe,76.6,Mercedes-Benz,EQS,2021,Corporate
52064,15352,Coupe,31.7,Audi,e-tron,2023,Municipal Utility
52065,15530,Crossover,74.9,Kia,EV6,2021,Educational Institution
52066,25357,Minivan,52.2,Ford,Mustang Mach-E,2023,Government
52067,29188,Crossover,58,Jeep,Avenger EV,2021,Taxi Operator
52068,25059,Electric Bike,63.1,Ford,F-150 Lightning,2024,Ride-Sharing Partner
52069,24562,Van,43.4,Volvo,C40 Recharge,2023,Government
52070,18880,Van,37.1,Mahindra,BE.05,2019,Taxi Operator
52071,21764,Compact SUV,62.3,Citroën,ë-C3,2020,Taxi Operator
52072,18372,Compact SUV,50,Honda,e,2020,Individual
52073,24880,Convertible,92.5,Mahindra,XUV400,2024,Municipal Utility
52074,29769,Truck,37.9,Ford,Mustang Mach-E,2021,Ride-Sharing Partner
52075,18536,Convertible,60.7,Volvo,XC40 Recharge,2020,Educational Institution
52076,11049,Hatchback,42.5,Honda,e,2021,Corporate
52077,28873,SUV,50.6,Renault,ZOE,2018,Ride-Sharing Partner
52078,28433,Electric Scooter,51.6,Volkswagen,ID.3,2021,Delivery Service
52079,14815,Electric Scooter,30.5,Kia,EV6,2019,Government
52080,12399,Coupe,89,Volvo,C40 Recharge,2023,Rental Agency
52081,20742,Minivan,53.2,Hyundai,Kona Electric,2023,Government
52082,25020,Van,54,Audi,Q4 e-tron,2020,Government
52083,25358,Luxury Sedan,66.8,Volkswagen,ID.3,2025,Municipal Utility
52084,17896,Compact SUV,90.5,Kia,EV6,2023,Delivery Service
52085,24517,Pickup,60.3,Volvo,XC40 Recharge,2018,Individual
52086,12244,Truck,54.6,Skoda,Enyaq iV,2020,Educational Institution
52087,28422,Compact SUV,58.4,Hyundai,Ioniq 5,2025,Government
52088,13358,Truck,39,Tata,Tigor EV,2022,Educational Institution
52089,13220,Three-Wheeler,49.6,Renault,K-ZE,2024,Corporate
52090,21536,Convertible,90.5,Ford,F-150 Lightning,2023,Municipal Utility
52091,17268,Three-Wheeler,33.3,Skoda,Enyaq iV,2022,Individual
52092,18992,Three-Wheeler,54.3,Ford,F-150 Lightning,2024,Taxi Operator
52093,10112,Truck,70.4,Maruti Suzuki,Futuro-e,2025,Rental Agency
52094,19819,Coupe,34.9,Renault,ZOE,2018,Government
52095,23890,Crossover,51.1,Skoda,Enyaq iV,2023,Delivery Service
52096,19111,Electric Scooter,30.3,Mercedes-Benz,EQB,2023,Individual
52097,14708,Electric Bike,38.4,Skoda,Enyaq iV,2018,Fleet
52098,16001,Sedan,96.7,BYD,Seal,2019,Ride-Sharing Partner
52099,10816,Van,42.8,Ford,Mustang Mach-E,2020,Corporate
52100,10821,Minivan,90.9,BMW,iX,2020,Ride-Sharing Partner
52101,26800,Three-Wheeler,68.2,Renault,ZOE,2018,Delivery Service
52102,20587,Coupe,48.3,Maruti Suzuki,Futuro-e,2024,Ride-Sharing Partner
52103,28981,Convertible,54.2,Citroën,ë-C3,2023,Individual
52104,17427,Hatchback,64.9,Mercedes-Benz,EQE,2023,Rental Agency
52105,15120,Van,36.5,Tesla,Model S,2024,Municipal Utility
52106,17303,Pickup,35.9,Citroën,ë-C3,2018,Delivery Service
52107,10458,Electric Bike,36,Citroën,ë-C3,2021,Individual
52108,19892,Pickup,33.7,Audi,Q4 e-tron,2021,Municipal Utility
52109,23219,Luxury Sedan,94.2,Renault,K-ZE,2021,Government
52110,24466,SUV,98.1,Volkswagen,ID.3,2021,Municipal Utility
52111,13423,Luxury Sedan,47.9,Jeep,Avenger EV,2024,Corporate
52112,22225,Sedan,34.6,Maruti Suzuki,Futuro-e,2023,Delivery Service
52113,27811,Crossover,80.6,BYD,Seal,2018,Rental Agency
52114,20126,Electric Scooter,97.4,Ford,Mustang Mach-E,2024,Fleet
52115,16926,Van,98,Hyundai,Kona Electric,2024,Rental Agency
52116,10174,Electric Scooter,37.6,Volkswagen,ID.4,2022,Government
52117,12115,Van,40.1,Maruti Suzuki,eVX,2018,Ride-Sharing Partner
52118,17244,Coupe,30,Tesla,Model S,2023,Ride-Sharing Partner
52119,25296,Coupe,97.4,Ford,Mustang Mach-E,2023,Municipal Utility
52120,15612,SUV,30.2,Honda,Prologue,2024,Educational Institution
52121,18786,Crossover,51.5,Skoda,Enyaq iV,2023,Municipal Utility
52122,22902,Pickup,89.6,Citroën,ë-C3,2022,Fleet
52123,24915,Minivan,65.5,Volkswagen,ID.3,2025,Educational Institution
52124,23442,Van,64.8,Tata,Nexon EV,2021,Taxi Operator
52125,22104,Electric Scooter,42.5,Mahindra,BE.05,2019,Individual
52126,28579,Convertible,63.5,Volkswagen,ID.4,2021,Municipal Utility
52127,11342,Coupe,67.4,Maruti Suzuki,Futuro-e,2024,Rental Agency
52128,18908,Crossover,54.9,MG,ZS EV,2021,Municipal Utility
52129,22438,Crossover,81.3,Tesla,Model 3,2023,Government
52130,19101,Crossover,38.1,Tata,Nexon EV,2019,Ride-Sharing Partner
52131,19685,Electric Bike,93.9,Volvo,C40 Recharge,2023,Municipal Utility
52132,25228,Convertible,69.4,Hyundai,Kona Electric,2018,Corporate
52133,23210,Crossover,62,Volvo,XC40 Recharge,2023,Educational Institution
52134,26175,Van,58.8,Tata,Nexon EV,2020,Taxi Operator
52135,27258,Minivan,51.2,Mercedes-Benz,EQE,2023,Ride-Sharing Partner
52136,10433,SUV,69.9,Tata,Tigor EV,2025,Ride-Sharing Partner
52137,19155,Minivan,64.8,Maruti Suzuki,Futuro-e,2020,Corporate
52138,20748,Pickup,74.7,Tesla,Model S,2021,Individual
52139,28878,Truck,80.4,Mahindra,BE.05,2020,Rental Agency
52140,28222,Truck,65.8,Renault,ZOE,2021,Corporate
52141,10007,Luxury Sedan,36.1,Mahindra,XUV400,2019,Taxi Operator
52142,20112,Electric Bike,86,Audi,e-tron,2022,Educational Institution
52143,26383,Sedan,35.8,Tesla,Model S,2022,Municipal Utility
52144,25776,Electric Bike,74.9,Volkswagen,ID.3,2019,Taxi Operator
52145,16053,Hatchback,45.8,BYD,e6,2018,Government
52146,11898,Pickup,89.9,MG,Comet EV,2021,Rental Agency
52147,27521,Convertible,66.1,Hyundai,Ioniq 5,2019,Taxi Operator
52148,24159,Hatchback,65.6,Volkswagen,ID.4,2020,Individual
52149,25455,Hatchback,82.2,MG,ZS EV,2023,Taxi Operator
52150,14610,Three-Wheeler,54.4,Tesla,Model 3,2020,Taxi Operator
52151,22290,Convertible,56.7,Volkswagen,ID.3,2021,Delivery Service
52152,12638,Luxury Sedan,72.3,BMW,i4,2019,Municipal Utility
52153,23708,Three-Wheeler,86.7,Audi,Q8 e-tron,2020,Municipal Utility
52154,13960,Hatchback,45.3,Jeep,Avenger EV,2021,Delivery Service
52155,10549,Convertible,86.2,Nissan,Leaf,2024,Delivery Service
52156,14344,SUV,87,Audi,Q8 e-tron,2023,Government
52157,15860,Hatchback,64.4,Hyundai,Ioniq 5,2025,Corporate
52158,22850,Minivan,48.2,Skoda,Enyaq iV,2019,Educational Institution
52159,28914,Sedan,90.3,Hyundai,Kona Electric,2024,Delivery Service
52160,17884,Electric Scooter,64.1,Nissan,Ariya,2021,Government
52161,18695,Convertible,98,Hyundai,Kona Electric,2025,Ride-Sharing Partner
52162,25840,Pickup,39.3,BMW,iX,2024,Delivery Service
52163,27704,Hatchback,83.3,Tata,Nexon EV,2024,Educational Institution
52164,18160,Pickup,94.5,Volkswagen,ID.4,2022,Ride-Sharing Partner
52165,27155,Luxury Sedan,35.7,Hyundai,Kona Electric,2022,Municipal Utility
52166,22822,Convertible,58,Tata,Tigor EV,2019,Government
52167,13600,SUV,95.7,MG,Comet EV,2021,Rental Agency
52168,26948,Coupe,69.7,Hyundai,Ioniq 5,2018,Government
52169,17726,Electric Scooter,30.4,Tata,Punch EV,2024,Corporate
52170,24009,Convertible,77.4,BYD,Seal,2019,Delivery Service
52171,29033,Coupe,64.6,Volkswagen,ID.4,2018,Delivery Service
52172,26038,Electric Bike,72,Mahindra,BE.05,2021,Government
52173,12917,Three-Wheeler,39.3,Nissan,Leaf,2018,Taxi Operator
52174,29889,Truck,89.9,Jeep,Avenger EV,2025,Fleet
52175,21445,Electric Bike,77,Honda,e,2025,Delivery Service
52176,11018,SUV,51.5,Renault,K-ZE,2024,Government
52177,24381,Electric Bike,48.3,Audi,Q4 e-tron,2019,Municipal Utility
52178,19768,Sedan,66.3,Jeep,Avenger EV,2018,Delivery Service
52179,17999,Luxury Sedan,46.6,Volkswagen,ID.4,2025,Taxi Operator
52180,12973,Crossover,47.5,Jeep,Avenger EV,2025,Fleet
52181,25324,Electric Bike,58.4,Maruti Suzuki,eVX,2019,Individual
52182,13743,Electric Scooter,38.7,Volvo,XC40 Recharge,2024,Government
52183,13189,Three-Wheeler,51.3,Hyundai,Kona Electric,2019,Individual
52184,23761,SUV,46.5,Renault,K-ZE,2024,Taxi Operator
52185,12596,Hatchback,68.1,MG,Comet EV,2020,Rental Agency
52186,25692,Compact SUV,44.4,Citroën,ë-C3,2018,Fleet
52187,23776,Convertible,98.8,Kia,EV6,2019,Educational Institution
52188,13849,Three-Wheeler,56.5,BMW,i4,2022,Taxi Operator
52189,27727,Truck,79.3,Tesla,Model 3,2023,Fleet
52190,24760,Hatchback,70.6,Mahindra,BE.05,2025,Municipal Utility
52191,17259,Luxury Sedan,64.6,BYD,Seal,2019,Educational Institution
52192,13064,Hatchback,55,Audi,Q8 e-tron,2019,Rental Agency
52193,17683,Luxury Sedan,51.6,Tesla,Model S,2024,Rental Agency
52194,17059,Minivan,86.1,MG,ZS EV,2021,Corporate
52195,14032,Compact SUV,33.3,Volvo,C40 Recharge,2025,Educational Institution
52196,19305,Electric Bike,77.1,Maruti Suzuki,Futuro-e,2025,Government
52197,23280,Truck,56.9,Jeep,Avenger EV,2021,Delivery Service
52198,29510,Electric Scooter,46.8,MG,ZS EV,2020,Taxi Operator
52199,21492,Coupe,53.3,Hyundai,Kona Electric,2024,Fleet
52200,17743,Van,41.4,Skoda,Enyaq iV,2020,Ride-Sharing Partner
52201,18048,Electric Scooter,69.4,Mahindra,BE.05,2018,Municipal Utility
52202,29390,Electric Scooter,97.5,Audi,e-tron,2025,Delivery Service
52203,23424,Minivan,34,Mahindra,XUV400,2019,Government
52204,26021,Convertible,92.2,Volkswagen,ID.3,2021,Educational Institution
52205,27986,Convertible,68.7,Maruti Suzuki,Futuro-e,2019,Ride-Sharing Partner
52206,15552,Three-Wheeler,36,MG,Comet EV,2024,Fleet
52207,16115,Three-Wheeler,68,Jeep,Avenger EV,2023,Government
52208,28939,Truck,42.3,BMW,i7,2022,Municipal Utility
52209,12383,SUV,36.6,Jeep,Avenger EV,2020,Rental Agency
52210,17562,Pickup,67.6,Kia,Soul EV,2022,Delivery Service
52211,29278,Pickup,51.2,Audi,Q8 e-tron,2022,Taxi Operator
52212,19647,Three-Wheeler,48.5,Citroën,ë-C3,2020,Fleet
52213,27598,Electric Scooter,53.4,Skoda,Enyaq iV,2025,Fleet
52214,21705,Pickup,42.4,Jeep,Avenger EV,2018,Taxi Operator
52215,24656,Electric Scooter,95.8,Kia,EV6,2018,Government
52216,23716,Crossover,32.5,Nissan,Leaf,2019,Government
52217,11495,Sedan,41.3,Kia,EV6,2021,Educational Institution
52218,22230,Crossover,67.7,Maruti Suzuki,Futuro-e,2020,Corporate
52219,16231,Truck,72.5,BYD,Atto 3,2022,Fleet
52220,27093,Electric Scooter,50.3,Volkswagen,ID.3,2024,Municipal Utility
52221,23605,Hatchback,83.4,Tesla,Model S,2019,Taxi Operator
52222,27819,Truck,65.8,Renault,ZOE,2021,Educational Institution
52223,28150,Convertible,81.5,BYD,Seal,2024,Individual
52224,15985,Compact SUV,67.2,Honda,e,2025,Taxi Operator
52225,22060,Luxury Sedan,47.1,Tesla,Model Y,2018,Government
52226,19037,Sedan,30.5,Nissan,Leaf,2025,Fleet
52227,13734,Pickup,92.1,BMW,i4,2023,Taxi Operator
52228,12625,Electric Bike,63.6,BMW,iX,2020,Rental Agency
52229,21905,Hatchback,98.5,BYD,e6,2020,Municipal Utility
52230,19555,Truck,78.3,Mercedes-Benz,EQB,2024,Fleet
52231,12477,Truck,96.9,Hyundai,Kona Electric,2019,Corporate
52232,11082,Electric Scooter,39.3,BMW,i7,2025,Corporate
52233,28408,Crossover,90.5,Skoda,Enyaq iV,2021,Delivery Service
52234,20661,SUV,70.4,Maruti Suzuki,Futuro-e,2024,Municipal Utility
52235,18639,Compact SUV,48.4,Jeep,Avenger EV,2019,Taxi Operator
52236,13226,Convertible,40.3,Nissan,Leaf,2025,Rental Agency
52237,10561,Convertible,76.5,Mercedes-Benz,EQS,2025,Municipal Utility
52238,24212,Crossover,98.7,Mercedes-Benz,EQE,2024,Rental Agency
52239,15706,Crossover,96.6,Honda,e,2018,Taxi Operator
52240,25873,Hatchback,71.9,Jeep,Avenger EV,2024,Government
52241,28140,Sedan,37.1,Mercedes-Benz,EQB,2024,Educational Institution
52242,22295,Electric Scooter,41,Tata,Punch EV,2019,Educational Institution
52243,27137,Van,50.7,Tata,Nexon EV,2021,Taxi Operator
52244,17084,Minivan,87,Mahindra,eVerito,2024,Individual
52245,16373,Truck,95.9,Maruti Suzuki,eVX,2020,Ride-Sharing Partner
